data,cotacao,log_retorno
2023-04-04,5.0762,0.0024655087983143087
2023-04-05,5.0447,-0.006224762958349173
2023-04-06,5.0683,0.004667268434818572
2023-04-10,5.0834,0.0029748733977732478
2023-04-11,5.0128,-0.013985687837621219
2023-04-12,4.9496,-0.0126878759811484
2023-04-13,4.9097,-0.008093925091215315
2023-04-14,4.9455,0.007265232054331605
2023-04-17,4.9421,-0.0006877301132748315
2023-04-18,4.9678,0.0051867440873800685
2023-04-19,5.0467,0.01575747816733153
2023-04-20,5.0497,0.0005942712428765873
2023-04-24,5.0595,0.0019388286056059023
2023-04-25,5.0613,0.0003557031102243702
2023-04-26,5.0585,-0.000553370634093886
2023-04-27,5.015,-0.008636575249909129
2023-04-28,5.0007,-0.002855518778883903
2023-05-02,5.0334,0.006517797463151842
2023-05-03,5.0227,-0.00212806237767027
2023-05-04,5.0106,-0.0024119693153947797
2023-05-05,4.9696,-0.008216314432870853
2023-05-08,4.9696,0.0
2023-05-09,5.0007,0.00623854866278406
2023-05-10,4.9547,-0.009241281590117723
2023-05-11,4.9696,0.0030027329273336623
2023-05-12,4.9234,-0.009340005227321813
2023-05-15,4.9103,-0.0026643090086624355
2023-05-16,4.9122,0.00038686689207390046
2023-05-17,4.9513,0.007928261734664543
2023-05-18,4.9647,0.00270270434788511
2023-05-19,4.9858,0.004240999271494905
2023-05-22,4.968,-0.0035765273511874085
2023-05-23,4.9674,-0.00012078024049966274
2023-05-24,4.9474,-0.004034378328762411
2023-05-25,4.999,0.010375706369517568
2023-05-26,5.0114,0.002477424746707646
2023-05-29,4.9954,-0.003197828203782338
2023-05-30,5.0593,0.012710644834217577
2023-05-31,5.0959,0.007208161034839122
2023-06-01,5.035,-0.012022768672889539
2023-06-02,4.9558,-0.015854918343020552
2023-06-05,4.9236,-0.006518637573501351
2023-06-06,4.9292,0.0011367328278271138
2023-06-07,4.9119,-0.0035158707504114872
2023-06-09,4.8922,-0.0040187322677764925
2023-06-12,4.8832,-0.0018413573956967966
2023-06-13,4.8533,-0.006141856722969852
2023-06-14,4.8462,-0.0014639932508078157
2023-06-15,4.8222,-0.00496463722957774
2023-06-16,4.8286,0.0013263151113260818
2023-06-19,4.7803,-0.010053264535696993
2023-06-20,4.793,0.0026532141372743734
2023-06-21,4.7795,-0.002820581655814003
2023-06-22,4.775,-0.0009419645889865436
2023-06-23,4.7799,0.0010256518497420153
2023-06-26,4.7698,-0.0021152504823931384
2023-06-27,4.7903,0.004288664641741713
2023-06-28,4.8563,0.013683791149328828
2023-06-29,4.8584,0.00043233451011537305
2023-06-30,4.8192,-0.00810122641784572
2023-07-03,4.7876,-0.006578697166304215
2023-07-04,4.8056,0.0037526625367361177
2023-07-05,4.8577,0.01078317031116982
2023-07-06,4.8977,0.00820063229957757
2023-07-07,4.8799,-0.003640979312744763
2023-07-10,4.8735,-0.0013123630566895805
2023-07-11,4.8949,0.004381481969477852
2023-07-12,4.8058,-0.018370324964598117
2023-07-13,4.8038,-0.0004162504222604557
2023-07-14,4.7957,-0.0016875882957172461
2023-07-17,4.8302,0.0071681915926642414
2023-07-18,4.804,-0.005438970456956849
2023-07-19,4.8,-0.0008329863038918361
2023-07-20,4.7888,-0.002336059797547696
2023-07-21,4.7732,-0.0032629186029340396
2023-07-24,4.7457,-0.005777994622857108
2023-07-25,4.7496,0.0008214590838222513
2023-07-26,4.7368,-0.0026986017388994643
2023-07-27,4.7202,-0.0035106306543144505
2023-07-28,4.7253,0.001079879412547724
2023-07-31,4.7415,0.0034224903479826985
2023-08-01,4.7752,0.007082316530657939
2023-08-02,4.8083,0.00690773342070905
2023-08-03,4.8797,0.014740151272517155
2023-08-04,4.8609,-0.003860136612601428
2023-08-07,4.901,0.008215659974482481
2023-08-08,4.9217,0.004214733350881517
2023-08-09,4.9015,-0.004112718558648032
2023-08-10,4.8518,-0.010191510602828746
2023-08-11,4.8918,0.008210563797967918
2023-08-14,4.9481,0.011443330597169066
2023-08-15,4.9812,0.006667161352904349
2023-08-16,4.9772,-0.0008033419455173441
2023-08-17,4.9816,0.0008836406567660493
2023-08-18,4.9724,-0.0018485036406816757
2023-08-21,4.9847,0.00247060012583189
2023-08-22,4.9431,-0.008380556311896825
2023-08-23,4.8977,-0.009226957584796525
2023-08-24,4.8748,-0.004686629197351966
2023-08-25,4.8772,0.0004922067367625349
2023-08-28,4.8938,0.0033978131144745127
2023-08-29,4.8706,-0.00475196502742925
2023-08-30,4.8653,-0.001088754100503131
